BIÓPSIA VESICAL A CÉU ABERTO,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Odontológica,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,Procedimento de Alta Complexidade,Diretriz de Utilização,SUBGRUPO,GRUPO,CAPÍTULO
CÁLCULO VESICAL - EXTRAÇÃO ENDOSCÓPICA,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTECTOMIA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTECTOMIA LAPAROSCÓPICA (INCLUI PRÓSTATA OU ÚTERO),,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOLITOTOMIA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOLITOTRIPSIA A LASER,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,Procedimento de Alta Complexidade,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOLITOTRIPSIA EXTRACORPÓREA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,Procedimento de Alta Complexidade,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"CISTOLITOTRIPSIA PERCUTÂNEA (U.S., E.H., E.C.)",,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"CISTOLITOTRIPSIA TRANSURETRAL (U.S., E.H., E.C.)",,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOPLASTIA REDUTORA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTORRAFIA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOSTOMIA CIRÚRGICA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOSTOMIA COM PROCEDIMENTO ENDOSCÓPICO,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CISTOSTOMIA POR PUNÇÃO COM TROCATER,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLO DE DIVERTÍCULO - RESSECÇÃO ENDOSCÓPICA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
COLO VESICAL - RESSECÇÃO ENDOSCÓPICA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO - EXTRAÇÃO CIRÚRGICA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO - EXTRAÇÃO ENDOSCÓPICA,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DIVERTICULECTOMIA VESICAL,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ENTEROCISTOPLASTIA (AMPLIAÇÃO VESICAL),,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Odontológica,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,Procedimento de Alta Complexidade,Diretriz de Utilização,SUBGRUPO,GRUPO,CAPÍTULO
EXTROFIA EM CLOACA - TRATAMENTO CIRÚRGICO,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXTROFIA VESICAL - TRATAMENTO CIRÚRGICO,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA VESICAL - TRATAMENTO CIRÚRGICO,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"INCONTINÊNCIA URINÁRIA - ""SLING"" VAGINAL OU ABDOMINAL, SINTÉTICO OU AUTÓLOGO",,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA - SUSPENSÃO ENDOSCÓPICA DE COLO,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA - TRATAMENTO CIRÚRGICO SUPRA-PÚBICO,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"INCONTINÊNCIA URINÁRIA COM COLPOPLASTIA ANTERIOR - TRATAMENTO CIRÚRGICO (COM OU SEM USO DE
PRÓTESE)",,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA - TRATAMENTO ENDOSCÓPICO (INJEÇÃO),,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"NEOBEXIGA CONTINENTE (CUTÂNEA, RETAL OU URETRAL)",,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PÓLIPOS VESICAIS - RESSECÇÃO CIRÚRGICA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PÓLIPOS VESICAIS - RESSECÇÃO ENDOSCÓPICA,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO E ASPIRAÇÃO VESICAL,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REIMPLANTE URETERO-VESICAL À BOARI,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETENÇÃO POR COÁGULO - ASPIRAÇÃO VESICAL,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA ENDOSCÓPICA DE DUPLO J,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR VESICAL - FOTOCOAGULAÇÃO A LASER,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR VESICAL - RESSECÇÃO ENDOSCÓPICA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"TRATAMENTO DA HIPERATIVIDADE VESICAL: INJEÇÃO INTRAVESICAL DE TOXINA BOTULÍNICA (COM DIRETRIZ
DE UTILIZAÇÃO)",,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,73,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
VESICOSTOMIA CUTÂNEA - CONFECÇÃO OU FECHAMENTO,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Odontológica,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,Procedimento de Alta Complexidade,Diretriz de Utilização,SUBGRUPO,GRUPO,CAPÍTULO
ABSCESSO PERIURETRAL - TRATAMENTO CIRÚRGICO,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA ENDOSCÓPICA DE URETRA,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO OU CÁLCULO - EXTRAÇÃO CIRÚRGICA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORPO ESTRANHO OU CÁLCULO - EXTRAÇÃO ENDOSCÓPICA,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DIVERTÍCULO URETRAL - TRATAMENTO CIRÚRGICO,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ELETROCOAGULAÇÃO ENDOSCÓPICA,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESFINCTEROTOMIA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA URETRAL - CORREÇÃO CIRÚRGICA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"INCONTINÊNCIA URINÁRIA - TRATAMENTO CIRÚRGICO SLING OU ESFÍNCTER ARTIFICIAL (COM DIRETRIZ DE
UTILIZAÇÃO)",,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,48,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INCONTINÊNCIA URINÁRIA - TRATAMENTO CIRÚRGICO (EXCETO ESFÍNCTER ARTIFICIAL),,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INJEÇÕES PERIURETRAIS (INCLUINDO URETROCISTOCOPIA),,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MEATOPLASTIA (RETALHO CUTÂNEO),,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MEATOTOMIA URETRAL,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
NEOURETRA PROXIMAL (CISTOURETROPLASTIA),,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE CARÚNCULA,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE VÁLVULA URETRAL POSTERIOR,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR URETRAL - EXCISÃO,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETRECTOMIA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETROPLASTIA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Odontológica,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,Procedimento de Alta Complexidade,Diretriz de Utilização,SUBGRUPO,GRUPO,CAPÍTULO
URETROSTOMIA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETROTOMIA INTERNA COM OU SEM PRÓTESE ENDOURETRAL,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,URETRA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ABSCESSO DE PRÓSTATA - DRENAGEM,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,PRÓSTATA E VESÍCULAS SEMINAIS,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ADENOMA - RESSECÇÃO,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,PRÓSTATA E VESÍCULAS SEMINAIS,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA PROSTÁTICA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,PRÓSTATA E VESÍCULAS SEMINAIS,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FOTOVAPORIZAÇÃO DE PRÓSTATA A LASER POR VIA ENDOSCÓPICA,582/2023,01/08/2023,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,PRÓSTATA E VESÍCULAS SEMINAIS,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HEMORRAGIA DA LOJA PROSTÁTICA - EVACUAÇÃO E IRRIGAÇÃO,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,PRÓSTATA E VESÍCULAS SEMINAIS,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HEMORRAGIA DA LOJA PROSTÁTICA - REVISÃO E/OU HEMOSTASIA ENDOSCÓPICA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,PRÓSTATA E VESÍCULAS SEMINAIS,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HIPERTROFIA PROSTÁTICA - IMPLANTE DE PRÓTESE,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,PRÓSTATA E VESÍCULAS SEMINAIS,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HIPERTROFIA PROSTÁTICA - TRATAMENTO POR DILATAÇÃO,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,PRÓSTATA E VESÍCULAS SEMINAIS,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROSTATAVESICULECTOMIA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,PRÓSTATA E VESÍCULAS SEMINAIS,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROSTATAVESICULECTOMIA RADICAL LAPAROSCÓPICA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,PRÓSTATA E VESÍCULAS SEMINAIS,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROSTATECTOMIA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,PRÓSTATA E VESÍCULAS SEMINAIS,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO ENDOSCÓPICA DA PRÓSTATA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,PRÓSTATA E VESÍCULAS SEMINAIS,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA ESCROTAL,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,ESCROTO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DRENAGEM DE ABSCESSO,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,ESCROTO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ELEFANTÍASE PENO-ESCROTAL - TRATAMENTO CIRÚRGICO,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,ESCROTO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE CISTO ESCROTAL,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,ESCROTO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO DA BOLSA ESCROTAL COM RETALHO INGUINAL PEDICULADO,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,ESCROTO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Odontológica,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,Procedimento de Alta Complexidade,Diretriz de Utilização,SUBGRUPO,GRUPO,CAPÍTULO
RESSECÇÃO DA BOLSA ESCROTAL,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,ESCROTO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AUTOTRANSPLANTE DE UM TESTÍCULO,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,TESTÍCULO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE TESTÍCULO,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,TESTÍCULO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESCROTO AGUDO - EXPLORAÇÃO CIRÚRGICA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,TESTÍCULO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HIDROCELE - CORREÇÃO CIRÚRGICA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,TESTÍCULO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE DE PRÓTESE TESTICULAR,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,TESTÍCULO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ORQUIDOPEXIA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,TESTÍCULO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ORQUIDOPEXIA LAPAROSCÓPICA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,TESTÍCULO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ORQUIECTOMIA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,TESTÍCULO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO DA VAGINAL,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,TESTÍCULO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REPARAÇÃO PLÁSTICA (TRAUMA),,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,TESTÍCULO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TORÇÃO DE TESTÍCULO - CURA CIRÚRGICA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,TESTÍCULO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TUMOR DE TESTÍCULO - RESSECÇÃO,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,TESTÍCULO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
VARICOCELE - CORREÇÃO CIRÚRGICA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,TESTÍCULO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE EPIDÍDIMO,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,EPIDÍDIMO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DRENAGEM DE ABSCESSO,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,EPIDÍDIMO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPIDIDIMECTOMIA,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,EPIDÍDIMO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EPIDIDIMOVASOPLASTIA (INCLUINDO MICROCIRURGIA),,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,EPIDÍDIMO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE CISTO,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,EPIDÍDIMO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Odontológica,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,Procedimento de Alta Complexidade,Diretriz de Utilização,SUBGRUPO,GRUPO,CAPÍTULO
ESPERMATOCELECTOMIA,,,,Ambulatorial,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,CORDÃO ESPERMÁTICO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXPLORAÇÃO CIRÚRGICA DO DEFERENTE,,,,,Hospitalar Com Obstetrícia,Hospitalar Sem Obstetrícia,Referência,,,CORDÃO ESPERMÁTICO,"SISTEMA GENITAL E REPRODUTOR
MASCULINO",PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
